name,Squad,position,TIS
Marash Kumbulla,Espanyol,Centre-Back,23.081141081141084
Andreas Christensen,Barcelona,Centre-Back,23.076923076923077
Aleksandar Sedlar,Alavés,Centre-Back,22.965771839011275
Niklas Stark,Werder Bremen,Centre-Back,22.8315881649215
Botond Balogh,Parma,Centre-Back,22.674771422802916
Pablo Marí,Monza,Centre-Back,22.37731787731788
Raúl Albiol,Villarreal,Centre-Back,22.154723876946097
Dara O'Shea,Ipswich Town,Centre-Back,21.652757583450654
Jannik Vestergaard,Leicester City,Centre-Back,21.46720984104162
Marin Pongračić,Fiorentina,Centre-Back,21.26956659160049
Leonardo Balerdi,Marseille,Centre-Back,20.580760702711927
Djené,Getafe,Centre-Back,20.359164109164105
Paweł Dawidowicz,Hellas Verona,Centre-Back,19.945551897302867
Isak Hien,Atalanta,Centre-Back,19.06954084427638
Nicolas Pallois,Nantes,Centre-Back,19.04977572471045
Scott McKenna,Las Palmas,Centre-Back,18.5686257232649
Edoardo Goldaniga,Como,Centre-Back,18.24749595481303
Modibo Sagnan,Montpellier,Centre-Back,18.16009795447998
Dan Burn,Newcastle Utd,Centre-Back,17.90134712110021
Abdul Mumin,Rayo Vallecano,Centre-Back,17.78373144510973
Derek Cornelius,Marseille,Centre-Back,17.775722068043994
Saúl Coco,Torino,Centre-Back,17.330009496676166
Juan Berrocal,Getafe,Centre-Back,17.04051755689035
Marcão,Sevilla,Centre-Back,16.933806933806935
Benedikt Gimber,Heidenheim,Centre-Back,16.802354260580813
Armando Izzo,Monza,Centre-Back,14.724169153622835
Abdel Abqar,Alavés,Centre-Back,13.822248048876943
Diego Coppola,Hellas Verona,Centre-Back,13.732931216162203
Marco Friedl,Werder Bremen,Centre-Back,10.067862770376735
