Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Enzo Boyomo,cm CMR,DF,Osasuna,23-155,2001,22,22,"1,952",21.7,2,0,2,2,0,0,5,0,1.3,1.3,0.8,2.1,10,74,3,0.09,0.00,0.09,0.09,0.09,0.06,0.04,0.10,0.06,0.10,Matches
Enzo Boyomo,cm CMR,DF,Valladolid,23-155,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Darko Brašanac,rs SRB,MF,Leganés,33-027,1992,22,13,"1,305",14.5,1,2,3,1,0,0,2,0,1.7,1.7,0.2,1.9,6,35,41,0.07,0.14,0.21,0.07,0.21,0.11,0.01,0.13,0.11,0.13,Matches
Tajon Buchanan,ca CAN,"MF,FW",Villarreal,26-031,1999,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ante Budimir,hr CRO,FW,Osasuna,33-232,1991,26,23,"1,986",22.1,14,2,16,8,6,6,3,0,11.1,6.6,1.4,8.0,17,19,92,0.63,0.09,0.73,0.36,0.45,0.50,0.06,0.57,0.30,0.36,Matches
Manu Bueno,es ESP,MF,Sevilla,20-227,2004,6,1,104,1.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,3,4,0.87,0.00,0.87,0.87,0.87,0.11,0.00,0.11,0.11,0.11,Matches
Endika Buján,es ESP,FW,Athletic Club,22-054,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pau Cabanes,es ESP,"MF,FW",Villarreal,20-022,2005,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.00,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47,Matches
Pau Cabanes,es ESP,MF,Alavés,20-022,2005,3,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13,4,11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Leandro Cabrera,uy URU,DF,Espanyol,33-267,1991,22,21,"1,890",21.0,2,1,3,2,0,0,3,0,0.6,0.6,0.4,1.0,6,49,3,0.10,0.05,0.14,0.10,0.14,0.03,0.02,0.05,0.03,0.05,Matches
Fernando Calero,es ESP,"DF,MF",Espanyol,29-178,1995,11,3,372,4.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,6,1,0.24,0.00,0.24,0.24,0.24,0.07,0.00,0.07,0.07,0.07,Matches
