Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Joshua Kimmich,de GER,MF,Bayern Munich,30-031,1995,24,23,"2,037",22.6,1,6,7,1,0,0,3,0,1.3,1.3,5.7,7.0,38,247,52,0.04,0.27,0.31,0.04,0.31,0.06,0.25,0.31,0.06,0.31,Matches
Tim Kleindienst,de GER,FW,Gladbach,29-192,1995,24,24,"2,113",23.5,14,5,19,13,1,2,3,0,12.4,10.7,5.1,15.8,37,48,120,0.60,0.21,0.81,0.55,0.77,0.53,0.22,0.75,0.46,0.67,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,28-281,1996,20,14,"1,263",14.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,14,66,22,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,23-060,2002,23,13,"1,170",13.0,1,4,5,1,0,0,2,0,1.4,1.4,4.1,5.6,39,45,108,0.08,0.31,0.38,0.08,0.38,0.11,0.32,0.43,0.11,0.43,Matches
Magnus Knudsen,no NOR,MF,Holstein Kiel,23-269,2001,22,18,"1,410",15.7,0,1,1,0,0,0,7,0,0.7,0.7,0.7,1.4,12,41,17,0.00,0.06,0.06,0.00,0.06,0.04,0.05,0.09,0.04,0.09,Matches
Gregor Kobel,ch SUI,GK,Dortmund,27-095,1997,23,23,"2,070",23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robin Koch,de GER,DF,Eint Frankfurt,28-237,1996,21,21,"1,776",19.7,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.0,8,59,2,0.05,0.00,0.05,0.05,0.05,0.05,0.01,0.05,0.05,0.05,Matches
Derrick Köhn,de GER,"DF,FW",Werder Bremen,26-035,1999,22,14,"1,295",14.4,2,2,4,2,0,0,2,0,0.7,0.7,1.6,2.4,34,36,117,0.14,0.14,0.28,0.14,0.28,0.05,0.11,0.16,0.05,0.16,Matches
Dominik Kohr,de GER,"DF,MF",Mainz 05,31-039,1994,23,23,"1,998",22.2,1,0,1,1,0,0,10,0,1.2,1.2,0.6,1.8,23,92,28,0.05,0.00,0.05,0.05,0.05,0.05,0.03,0.08,0.05,0.08,Matches
Marco Komenda,hr CRO,DF,Holstein Kiel,28-105,1996,15,13,970,10.8,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.6,12,34,11,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
