,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
183,Paulo Azzi,BRA,DF,Cagliari,it  Serie A,30-239,1994.0,4.7,180,161,19,1,1,0,22,18,0,0,0,0,126,0,4
184,Oussama El Azzouzi,MAR,MF,Bologna,it  Serie A,23-286,2001.0,0.1,4,3,1,1,0,0,0,0,0,0,0,0,3,0,0
185,Papa Ba,ESP,MF,Girona,es  La Liga,20-180,2004.0,0.5,13,13,0,0,0,0,1,0,0,0,0,0,5,0,3
186,Shavy Babicka,GAB,"MF,FW",Toulouse,fr  Ligue 1,24-283,2000.0,10.8,247,237,9,0,1,2,34,8,0,0,0,0,171,1,8
187,Jacopo Bacci,ITA,MF,Empoli,it  Serie A,19-265,2005.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1
188,Aliou Badara Baldé,GUI,"MF,FW",Bochum,de  Bundesliga,22-089,2002.0,1.0,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1
189,Loïc Bade,FRA,DF,Sevilla,es  La Liga,24-334,2000.0,21.2,1325,1272,46,35,1,12,4,3,0,0,0,0,1125,7,7
190,Milan Badelj,CRO,MF,Genoa,it  Serie A,36-014,1989.0,14.9,767,730,32,26,4,7,5,3,2,0,0,0,619,5,9
191,Benoît Badiashile,FRA,DF,Chelsea,eng  Premier League,23-350,2001.0,2.8,223,214,8,5,0,1,0,0,0,0,0,0,200,1,0
192,Alex Baena,ESP,"MF,FW",Villarreal,es  La Liga,23-234,2001.0,22.2,1017,852,154,42,16,16,160,20,88,34,36,0,681,11,32
193,Juma Bah,SLE,DF,Valladolid,es  La Liga,18-334,2006.0,9.6,407,393,12,11,0,1,0,0,0,0,0,0,330,2,3
194,Juma Bah,SLE,DF,Lens,fr  Ligue 1,18-334,2006.0,1.2,35,29,5,1,0,0,0,0,0,0,0,0,29,1,1
195,Leon Bailey,JAM,"FW,MF",Aston Villa,eng  Premier League,27-214,1997.0,12.6,386,366,17,0,5,1,34,1,16,9,0,0,273,3,24
196,Eric Bailly,CIV,DF,Villarreal,es  La Liga,30-333,1994.0,6.4,300,280,19,11,0,0,0,2,0,0,0,0,262,1,0
